Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 51,51,14,0.005314400012139231,1.2471604367995142,0.025267601013183594,1.018059558117195,,,,
Tamanho 52,52,14,0.007748099975287914,1.4579444448271845,0.030661582946777344,1.2134742404227212,,,,
Tamanho 53,53,16,0.005377899971790612,0.6940927438911593,0.031205177307128906,1.0177288420266866,,,,
Tamanho 54,54,15,0.006048600014764816,1.1247141163822891,0.03174591064453125,1.0173283212615751,,,,
Tamanho 55,55,13,0.0059967999695800245,0.9914360273355246,0.03228569030761719,1.0170031242489785,,,,
Tamanho 56,56,18,0.005432099977042526,0.9058331117592628,0.03283214569091797,1.0169256217876765,,,,
Tamanho 57,57,15,0.0065407000365667045,1.2040831472560174,0.0333709716796875,1.0164115374560665,,,,
Tamanho 58,58,13,0.00565090001327917,0.8639595122367664,0.03391075134277344,1.016175125743027,,,,
Tamanho 59,59,19,0.007955199980642647,1.4077757458012978,0.034458160400390625,1.0161426401934868,,,,
Tamanho 60,60,14,0.011815299978479743,1.4852297877149363,0.034995079040527344,1.0155817557843463,,,,
Tamanho 61,61,16,0.006603199988603592,0.5588685857007937,0.035538673400878906,1.0155334514238996,,,,
Tamanho 62,62,17,0.006633799988776445,1.0046341168260338,0.03608131408691406,1.0152690191869047,,,,
Tamanho 63,63,18,0.007988899946212769,1.204272055191441,0.03662395477294922,1.015039382565946,,,,
Tamanho 64,64,21,0.008236500027123839,1.0309930131279774,0.04321098327636719,1.179855740436945,,,,
Tamanho 65,65,19,0.007923200028017163,0.9619619986553829,0.043842315673828125,1.0146104612668285,,,,
Tamanho 66,66,20,0.008028600015677512,1.0133027043729357,0.04447650909423828,1.0144653267206125,,,,
Tamanho 67,67,19,0.00956079998286441,1.1908427327547715,0.045108795166015625,1.014216180286039,,,,
Tamanho 68,68,17,0.010458000004291534,1.0938415219474473,0.04574012756347656,1.0139957716701902,,,,
Tamanho 69,69,20,0.008147899992763996,0.7791069027940746,0.04637622833251953,1.0139068429173095,,,,
Tamanho 70,70,18,0.008477099996525794,1.04040304913587,0.04700756072998047,1.013613276028707,,,,
Tamanho 71,71,20,0.011590999958571047,1.367330804558332,0.04764270782470703,1.0135115944087156,,,,
Tamanho 72,72,23,0.01263820001622662,1.090345963368002,0.04827880859375,1.0133514822747562,,,,
Tamanho 73,73,22,0.012419799983035773,0.9827190554896714,0.048911094665527344,1.0130965549936788,,,,
Tamanho 74,74,20,0.012222099991049618,0.984081869896762,0.04954242706298828,1.0129077544017002,,,,
Tamanho 75,75,23,0.10279939998872578,8.41094411467808,0.05017852783203125,1.0128395156788388,,,,
Tamanho 76,76,20,0.02457820001291111,0.2390889442507121,0.06033039093017578,1.202314885206021,,,,
Tamanho 77,77,22,0.010348300042096525,0.42103571606791734,0.061087608337402344,1.0125511768704256,,,,
Tamanho 78,78,20,0.010539799986872822,1.0185054495904913,0.06184101104736328,1.012333151198189,,,,
Tamanho 79,79,25,0.010904300026595592,1.0345832027340889,0.06260108947753906,1.0122908474053511,,,,
Tamanho 80,80,24,0.011138000001665205,1.021431909842871,0.0633554458618164,1.0120502117546692,,,,
Tamanho 81,81,24,0.0113936000270769,1.0229484669934892,0.06411075592041016,1.0119217858594374,,,,
Tamanho 82,82,24,0.011794799997005612,1.0352127482951183,0.0648660659790039,1.0117813313499442,,,,
Tamanho 83,83,23,0.01295369997387752,1.0982551613563707,0.06562042236328125,1.0116294455797816,,,,
Tamanho 84,84,25,0.015026199980638921,1.15999289862671,0.06637763977050781,1.0115393558888501,,,,
Tamanho 85,85,29,0.013167399971280247,0.8762960687496695,0.06713676452636719,1.0114364529754891,,,,
Tamanho 86,86,26,0.013659999996889383,1.0374105766273949,0.06788921356201172,1.01120770476434,,,,
Tamanho 87,87,27,0.014635699975769967,1.0714275240924427,0.06864547729492188,1.0111396743787489,,,,
Tamanho 88,88,23,0.013773099984973669,0.9410619244570215,0.06939697265625,1.0109474854126146,,,,
Tamanho 89,89,27,0.01706530002411455,1.2390311580350568,0.07015609741210938,1.010938874230431,,,,
Tamanho 90,90,28,0.014266100013628602,0.8359712395017687,0.07091236114501953,1.010779729215377,,,,
Tamanho 91,91,26,0.014570700004696846,1.0213513147095041,0.07166576385498047,1.0106244200277041,,,,
Tamanho 92,92,22,0.015292700030840933,1.0495514989610213,0.0838918685913086,1.1705989593729624,,,,
Tamanho 93,93,25,0.015417999995406717,1.0081934494440543,0.08477210998535156,1.0104925710777906,,,,
Tamanho 94,94,27,0.015648400003556162,1.0149435729808072,0.08565139770507812,1.0103723703453706,,,,
Tamanho 95,95,28,0.015811099961865693,1.0103972264431225,0.08652973175048828,1.0102547543758071,,,,
Tamanho 96,96,29,0.017444099998101592,1.1032818741374402,0.08740806579589844,1.0101506618319684,,,,
Tamanho 97,97,29,0.01658980001229793,0.9510264223492966,0.08828544616699219,1.0100377506710019,,,,
Tamanho 98,98,30,0.01782369997818023,1.0743770247361402,0.08916378021240234,1.009948797718582,,,,
Tamanho 99,99,29,0.017884100030642003,1.0033887493918612,0.09004020690917969,1.0098294026418526,,,,
Tamanho 100,100,30,0.018228399974759668,1.0192517344192749,0.09091854095458984,1.0097549092295635,,,,
