Arquivo	Quantidade	Tempo(s)
Trabalho 1/entradas/crescente_1.txt	5000	0.025440
Trabalho 1/entradas/crescente_2.txt	10000	0.054655
Trabalho 1/entradas/crescente_4.txt	20000	0.107196
Trabalho 1/entradas/decrescente_1.txt	5000	1.669092
Trabalho 1/entradas/decrescente_2.txt	10000	3.452273
Trabalho 1/entradas/decrescente_4.txt	20000	14.089462
Trabalho 1/entradas/aleatorio_1.txt	5000	0.426878
Trabalho 1/entradas/aleatorio_2.txt	10000	1.800259
Trabalho 1/entradas/aleatorio_4.txt	20000	7.269928
