Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 40,40,10,0.0036085000028833747,0.6357358016009409,0.02031230926513672,1.2605942234848484,N/A,N/A,N/A,N/A
Tamanho 41,41,10,0.005259500001557171,1.4575308292516458,0.02076244354248047,1.0221606648199446,N/A,N/A,N/A,N/A
Tamanho 42,42,11,0.0033369999728165567,0.6344709519590411,0.021213531494140625,1.0217261494648844,N/A,N/A,N/A,N/A
Tamanho 43,43,10,0.004557600012049079,1.3657776593274253,0.02166271209716797,1.021174249235749,N/A,N/A,N/A,N/A
Tamanho 44,44,12,0.006268500001169741,1.3753949413282207,0.02211475372314453,1.0208672683248954,N/A,N/A,N/A,N/A
Tamanho 45,45,12,0.010487299994565547,1.6730158718367314,0.02256488800048828,1.0203544784164906,N/A,N/A,N/A,N/A
Tamanho 46,46,14,0.006003100017551333,0.5724161624690913,0.023016929626464844,1.0200329656396603,N/A,N/A,N/A,N/A
Tamanho 47,47,12,0.006090099981520325,1.0144925061575902,0.02346515655517578,1.0194737932463227,N/A,N/A,N/A,N/A
Tamanho 48,48,11,0.0054861000389792025,0.9008226557242266,0.023914337158203125,1.0191424507213982,N/A,N/A,N/A,N/A
Tamanho 49,49,14,0.004301899985875934,0.7841453774649702,0.024367332458496094,1.018942415058223,N/A,N/A,N/A,N/A
Tamanho 50,50,15,0.005696200008969754,1.3241126078410952,0.02481842041015625,1.01851199561661,N/A,N/A,N/A,N/A
Tamanho 51,51,13,0.005424799979664385,0.9523541959766164,0.025266647338867188,1.0180602520750077,N/A,N/A,N/A,N/A
Tamanho 52,52,13,0.005363799980841577,0.9887553459940505,0.030660629272460938,1.213482297878765,N/A,N/A,N/A,N/A
Tamanho 53,53,15,0.0052019000286236405,0.9698161839001807,0.0312042236328125,1.0177293934681182,N/A,N/A,N/A,N/A
Tamanho 54,54,15,0.009259100013878196,1.7799457819123143,0.03174591064453125,1.017359413202934,N/A,N/A,N/A,N/A
Tamanho 55,55,18,0.00554130005184561,0.5984706983983235,0.03229045867919922,1.0171533285267964,N/A,N/A,N/A,N/A
Tamanho 56,56,17,0.008183100027963519,1.4767473248877796,0.03283119201660156,1.0167459168906348,N/A,N/A,N/A,N/A
Tamanho 57,57,18,0.005882999976165593,0.7189206970539331,0.03337383270263672,1.0165282054261313,N/A,N/A,N/A,N/A
Tamanho 58,58,12,0.007858900004066527,1.3358660608373454,0.03390979766845703,1.0160594370624374,N/A,N/A,N/A,N/A
Tamanho 59,59,17,0.006180099968332797,0.7863823136997484,0.03445625305175781,1.0161149703293304,N/A,N/A,N/A,N/A
Tamanho 60,60,14,0.007646000012755394,1.237196817516538,0.034995079040527344,1.0156379739828398,N/A,N/A,N/A,N/A
Tamanho 61,61,17,0.007452299993019551,0.974666489744611,0.03553962707519531,1.0155607030930645,N/A,N/A,N/A,N/A
Tamanho 62,62,15,0.007115399988833815,0.9547924795698906,0.03607940673828125,1.0151881071217732,N/A,N/A,N/A,N/A
Tamanho 63,63,19,0.00905539997620508,1.2726480577923525,0.036624908447265625,1.0151194755762318,N/A,N/A,N/A,N/A
Tamanho 64,64,19,0.007278100005351007,0.8037303735313411,0.043209075927734375,1.1797729403187167,N/A,N/A,N/A,N/A
Tamanho 65,65,20,0.007992599974386394,1.0981712216801187,0.04384326934814453,1.014677319678644,N/A,N/A,N/A,N/A
Tamanho 66,66,19,0.009282899962272495,1.1614368280685985,0.044475555419921875,1.014421508276597,N/A,N/A,N/A,N/A
Tamanho 67,67,20,0.01018749998183921,1.0974479982810528,0.04510974884033203,1.0142593704434342,N/A,N/A,N/A,N/A
Tamanho 68,68,18,0.008618000021670014,0.8459386539418825,0.04574108123779297,1.013995475782753,N/A,N/A,N/A,N/A
Tamanho 69,69,17,0.009436599968466908,1.0949872296053051,0.04637336730957031,1.0138231553489148,N/A,N/A,N/A,N/A
Tamanho 70,70,20,0.011327499989420176,1.2003793768170579,0.04700946807861328,1.0137169415539011,N/A,N/A,N/A,N/A
Tamanho 71,71,21,0.011247400019783527,0.9929287159822148,0.04764366149902344,1.0134907593370255,N/A,N/A,N/A,N/A
Tamanho 72,72,21,0.00892809999641031,0.7937923414039065,0.04827690124511719,1.0132911645782456,N/A,N/A,N/A,N/A
Tamanho 73,73,20,0.011037699994631112,1.2362876758850148,0.04890918731689453,1.0130970724191064,N/A,N/A,N/A,N/A
Tamanho 74,74,20,0.011698600021190941,1.059876607162842,0.04954242706298828,1.012947255532807,N/A,N/A,N/A,N/A
Tamanho 75,75,24,0.011870300048030913,1.0146769721615367,0.050179481506347656,1.0128587653275327,N/A,N/A,N/A,N/A
Tamanho 76,76,27,0.011477300024125725,0.966892157543197,0.060337066650390625,1.2024250717448732,N/A,N/A,N/A,N/A
Tamanho 77,77,25,0.011856800003442913,1.0330652660921527,0.06109046936035156,1.0124865650881962,N/A,N/A,N/A,N/A
Tamanho 78,78,25,0.011744200019165874,0.9905033411844391,0.06184577941894531,1.0123637953104998,N/A,N/A,N/A,N/A
Tamanho 79,79,20,0.011772899946663529,1.0024437532953132,0.06259632110595703,1.012135697764071,N/A,N/A,N/A,N/A
Tamanho 80,80,24,0.012723200023174286,1.0807192858867432,0.0633554458618164,1.0121273062449534,N/A,N/A,N/A,N/A
Tamanho 81,81,25,0.012438800011295825,0.9776471319038883,0.06411170959472656,1.0119368386193608,N/A,N/A,N/A,N/A
Tamanho 82,82,21,0.0133594999788329,1.0740183913802759,0.06486320495605469,1.0117216553119328,N/A,N/A,N/A,N/A
Tamanho 83,83,25,0.015394099988043308,1.152296119797453,0.06562232971191406,1.0117034728144205,N/A,N/A,N/A,N/A
Tamanho 84,84,24,0.0161328999674879,1.047992411379582,0.0663766860961914,1.0114954221770092,N/A,N/A,N/A,N/A
Tamanho 85,85,24,0.015239100030157715,0.9445976892479696,0.06713199615478516,1.0113791468513385,N/A,N/A,N/A,N/A
Tamanho 86,86,25,0.015582800027914345,1.0225538251652957,0.06788825988769531,1.0112653246771697,N/A,N/A,N/A,N/A
Tamanho 87,87,23,0.014868600002955645,0.9541674138358117,0.06864166259765625,1.0110976877475908,N/A,N/A,N/A,N/A
Tamanho 88,88,24,0.015599100035615265,1.0491303843343964,0.0693979263305664,1.0110175614093586,N/A,N/A,N/A,N/A
Tamanho 89,89,27,0.016091400000732392,1.0315595107405637,0.07015609741210938,1.010924981791697,N/A,N/A,N/A,N/A
Tamanho 90,90,24,0.018741599982604384,1.1646966691370153,0.0709085464477539,1.0107253547931052,N/A,N/A,N/A,N/A
Tamanho 91,91,27,0.016724899993278086,0.8923944598541126,0.07166671752929688,1.0106922383763937,N/A,N/A,N/A,N/A
Tamanho 92,92,26,0.01726659998530522,1.0323888329523554,0.08389568328857422,1.1706366104221004,N/A,N/A,N/A,N/A
Tamanho 93,93,29,0.01588150003226474,0.9197815462094869,0.08477592468261719,1.010492093985518,N/A,N/A,N/A,N/A
Tamanho 94,94,26,0.01768460002494976,1.1135346150566292,0.08565044403076172,1.0103156568497311,N/A,N/A,N/A,N/A
Tamanho 95,95,27,0.017228799988515675,0.9742261608523216,0.08652877807617188,1.0102548685573036,N/A,N/A,N/A,N/A
Tamanho 96,96,30,0.02020329999504611,1.1726469637184926,0.08740901947021484,1.010172816646828,N/A,N/A,N/A,N/A
Tamanho 97,97,28,0.020412600017152727,1.0103596948101516,0.08828449249267578,1.0100158201952976,N/A,N/A,N/A,N/A
Tamanho 98,98,28,0.020404200011398643,0.9995884891808479,0.08916187286376953,1.0099381029025742,N/A,N/A,N/A,N/A
Tamanho 99,99,31,0.020351900020614266,0.9974368026800776,0.0900421142578125,1.0098723968639363,N/A,N/A,N/A,N/A
Tamanho 100,100,31,0.09005969995632768,4.42512492028297,0.09091949462890625,1.0097441111675987,N/A,N/A,N/A,N/A
